用户ID,用户名,所在地,性别,认证状态,认证类型,认证理由,个人描述,信用等级,公司,学校,生日,创建时间,粉丝数,关注数,微博数,获评转赞总数,获评论数,获转发数,获点赞数
1876536071,DP是个好接口,北京 朝阳区,男,未认证,未知,无,少吃嘌呤多做饭,信用极好,未知,未知,双鱼座,2010-11-28 00:13:55,876,429,4469,1万,"3,235","6,352",511
7377093192,DRachel·W,湖北,女,未认证,普通用户,无,我在这里学习打卡,信用较好,未知,未知,2001-09-28 天秤座,2020-01-23 19:34:34,4,431,1380,292,126,4,162
7470973413,Daisyzhangping,湖北,女,未认证,普通用户,无,,信用较好,未知,未知,1991-03-10 双鱼座,2020-06-12 18:01:07,1,289,5635,6,0,0,6
2010189091,DavAttenbor,山西,女,未认证,普通用户,无,Beware of false prosperity.,信用较好,未知,中国科学院大学,,2011-03-06 13:54:34,178,446,1059,790,466,10,314
1670420535,Dennis紫金山,北京 朝阳区,男,未认证,未知,无,,信用极好,未知,湖北大学,狮子座,2009-12-15 14:40:24,380,421,1255,972,761,104,107
7725334075,Desertorosso,内蒙古,男,未认证,普通用户,无,国内最强的演技派,信用较好,未知,未知,天蝎座,2021-11-26 21:18:36,44,791,3132,844,136,229,479
7735293207,Doctor郝的伤口修复宝典,北京,男,已认证,名人,北京大学首钢医院修复重建外科主任,铁笔纵横谈今古，横断阴阳柳叶刀,信用一般,北京大学首钢医院,未知,水瓶座,2022-01-10 16:37:50,6703,357,413,1.1万,620,"2,436","7,904"
2812103937,DreamLx_921,四川 成都,男,未认证,普通用户,无,可以简单，我宁愿简单忘记。,信用较好,未知,未知,1986-07-29 狮子座,2012-07-30 08:09:17,24,52,96,63,2,2,59
5141804119,DrewLu_2025,其他,男,未认证,普通用户,无,做生活的自由舞者,信用较好,未知,华中科技大学,1997-04-27 金牛座,2014-05-11 13:14:27,250,393,3661,2512,"1,109",13,"1,390"
5444262860,D夜航船,陕西 西安,男,未认证,普通用户,无,,信用较好,未知,未知, ,2014-12-25 11:32:11,643,5431,142324,5865,545,"4,501",819
6034456825,Easily_大凤,其他,女,未认证,普通用户,无,清晨的日出和拂面的秋风，是生活送我的真挚美好。,信用较好,未知,华中农业大学,处女座,2016-09-30 13:16:27,66,362,1985,1652,807,17,828
5036721255,Ederrrr,内蒙古 阿拉善盟,男,未认证,普通用户,无,,信用较好,未知,未知,巨蟹座,2014-02-15 14:38:13,77,286,1133,1371,501,53,817
1816809427,Edward_NNN,广东,男,未认证,未知,无,最爱欧美混音！！！Skrillex！！！,信用极好,未知,未知,1996-03-07 双鱼座,2010-09-10 10:33:16,1090,521,19908,2709,"1,267","1,338",104
5325332454,Einsyi,江西 宜春,男,未认证,普通用户,无,,信用较好,未知,江西农业大学,1993-03-03 双鱼座,2014-11-17 21:47:11,121,245,1639,882,424,7,451
7556428675,EinviolettesMinerva,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2021-01-25 18:12:27,692,180,2532,2万,"4,043","1,424","14,290"
6439207881,FAN噬学,其他,女,未认证,普通用户,无,不干人事，必遭反噬 吸引力法则🧲,信用较好,未知,未知, ,2017-12-28 12:30:35,53,629,1641,649,139,13,497
2614486773,Fantasy-吹胡子瞪眼,天津 南开区,女,未认证,普通用户,无,蛇精病,信用极好,大忽悠公司,未知,1987-07-03 巨蟹座,2012-02-12 22:33:47,204,161,10229,1096,436,509,151
5709923529,Fate-Luo,浙江 杭州,男,未认证,普通用户,无,热爱自然，追求自我，团结友爱，博智成长。^_^,信用较好,未知,中国计量大学,1996-05-09 金牛座,2015-09-24 21:26:10,147,62,240,143,54,4,85
5159149671,Fearless丿L,重庆 九龙坡区,男,未认证,普通用户,无,不负自己，不负年华,信用较好,未知,重庆大学城市科技学院,1999-02-11 水瓶座,2014-05-30 14:19:57,29,237,69,206,56,0,150
2327441432,ForceMajeure四重奏,福建,男,未认证,未知,无,不再更新就是已经去世,信用较好,未知,未知,1996-02-17 水瓶座,2011-08-21 13:37:18,299,822,7085,5412,"2,724",549,"2,139"
7026415360,Geronimo_成功上岸版,海外 斯洛伐克,女,未认证,普通用户,无,2024平安上岸,信用较好,未知,未知,射手座,2019-03-09 14:46:04,4,120,103,100,23,0,77
3065582635,Giovannimoreno10,上海 徐汇区,男,已认证,名人,体育博主,他们说 就让他们去说,信用极好,人生无限公司,未知,天蝎座,2012-10-23 21:43:18,34764,195,4358,3万,"7,984","2,024","19,771"
6167564396,Go元鹏,广东 东莞,男,未认证,普通用户,无,嗨呀，缘来是你！,信用较好,未知,未知,天秤座,2017-03-06 22:02:27,762,3165,30244,1354,247,215,892
6195578077,HQ蒙奈,其他,女,未认证,普通用户,无,允许一切发生 允许自己发光,信用较好,未知,未知,天秤座,2017-04-05 12:05:13,934,5098,18133,4303,"1,245",299,"2,759"
5932321244,Hahahaha0111,海南,男,未认证,普通用户,无,未来的超级大富翁,信用较好,未知,未知,狮子座,2016-05-14 10:19:01,202,661,2177,755,350,9,396
1793015572,Halo一语,浙江 宁波,女,未认证,普通用户,无,平安健康,信用较好,未知,未知,水瓶座,2010-08-30 18:37:18,674,2027,22021,1467,602,169,696
3643520983,Handy的美丽撒哈拉,广东 深圳,女,未认证,普通用户,无,每想你一次，天上飘落一粒沙，从此形成了撒哈拉。,信用较好,未知,未知,天蝎座,2013-07-21 03:10:42,48,168,10913,113,4,21,88
5170057291,Heardheart-,河南 郑州,男,未认证,普通用户,无,简单点，努力一点，成熟一点，稳重一点，开心一些。,信用较好,未知,上海交通大学, ,2014-06-05 19:35:50,114,849,1726,1314,734,41,539
1720672071,Hi小豆荚,北京,女,已认证,名人,  湖北卫视  职员,六月的驼云倾倒 三月下过的雪~,信用较好,未知,华中科技大学,,2010-03-28 20:24:42,881,298,6448,8214,"6,368",707,"1,139"
7771644713,HoneyHoney_06,北京,女,未认证,普通用户,无,,信用较好,未知,未知,白羊座,2022-07-04 07:34:31,1,6,1693,8,4,1,3
7312467413,Hsjsnsbxjsjsnxinxnwixn,湖北,女,未认证,普通用户,无,Ari’s secrets,信用较好,未知,未知,2021-01-01 摩羯座,2019-09-29 16:57:55,17,606,1319,231,15,63,153
7417177913,IHXJ66,江苏 南通,男,未认证,普通用户,无,,信用较好,未知,未知,1989-12-22 摩羯座,2020-03-22 11:07:05,9,81,64,84,43,4,37
2658909173,IMBAfarmer09,黑龙江 哈尔滨,男,未认证,普通用户,无,,信用较好,上海华为技术有限公司,哈尔滨工业大学, ,2012-03-12 01:26:40,94,475,6100,167,31,27,109
1618010182,IT莲接,海南 海口,女,未认证,普通用户,无,用我的眼晴看世界,信用较好,未知,未知, ,2009-10-13 16:12:52,15047,321,60217,5.8万,"17,308","35,988","4,225"
7773289925,JC咖要努力学吉他,湖南 长沙,女,未认证,普通用户,无,,信用较好,未知,未知,水瓶座,2022-07-14 07:52:03,2,17,324,45,32,0,13
2274470961,JGLED,北京 朝阳区,男,未认证,普通用户,无,,信用极好,未知,未知,水瓶座,2011-07-28 21:22:43,425,239,12046,952,255,430,267
5327553796,JINfffxxx,北京,女,未认证,普通用户,无,没什么好看的啦，很有趣罢了,信用极好,未知,中央民族大学,射手座,2014-10-11 18:32:27,310,484,974,6976,"3,053",76,"3,847"
6012377954,Jackcy_wow,四川,男,未认证,普通用户,无,,信用较好,未知,未知,1998-01-01 摩羯座,2016-08-26 15:47:13,185,2527,3015,540,256,9,275
3859884810,Jesen_s,陕西 西安,男,未认证,普通用户,无,,信用较好,未知,未知,摩羯座,2013-10-16 21:25:11,64,288,695,767,361,23,383
7278786405,Jessper2021,其他,男,未认证,普通用户,无,谨言慎行,信用较好,未知,未知, ,2019-08-10 23:32:05,102,598,9520,1816,736,450,630
1957346713,JewelChloe,海外,女,未认证,普通用户,无,读书。,信用较好,未知,未知,射手座,2011-02-08 17:43:39,763,481,138,3275,"1,499",3,"1,773"
2296916092,Jumi-翔,福建,男,未认证,普通用户,无,Doctor of Philosophy 真诚交友，善良待人,信用较好,未知,未知,2022-03-15 双鱼座,2011-08-09 13:42:39,222,235,168,163,74,1,88
1771250874,J杰米老师,江西,男,未认证,普通用户,无,一个积极的悲观主义者， 十年雅思托福教学， 喜马拉雅《每周一段英文晨读｜晚读》主播， 不知名大学英文教书匠， 热爱文字的知识搬运工。,信用极好,四川外国语大学,四川外国语大学,处女座,2010-07-23 10:11:53,733,940,3050,1900,"1,150",342,408
1793326557,KAFKAR,其他,男,未认证,未知,无,喘一口气 这回自己优先,信用较好,未知,未知,射手座,2011-06-13 22:06:26,3171,1358,1000,7007,"4,528",145,"2,334"
6287106299,Kaip_R2018,其他,男,未认证,普通用户,无,,信用较好,未知,未知,双子座,2017-07-07 23:27:46,33,4570,2827,54,20,13,21
5113924081,Kangetsu_1874,四川,女,未认证,普通用户,无,番茄锅在逃肥牛,信用较好,未知,暨南大学,2000-10-11 天秤座,2014-04-20 21:13:56,43,801,607,5688,"1,415",269,"4,004"
6262056766,Seraphimina,其他,女,未认证,普通用户,无,【⚠️慎重围观】镇魂,信用较好,未知,未知,射手座,2017-06-02 22:42:01,568,521,4905,3.2万,"18,326","1,553","11,624"
7242646839,Karryioo,浙江,男,未认证,普通用户,无,凡人皆需侍奉,信用较好,未知,未知,2000-05-01 金牛座,2019-07-17 20:32:25,25,132,634,581,133,26,422
6034452659,LD-XH,其他,女,未认证,普通用户,无,,信用较好,未知,未知,2001-06-01 双子座,2016-09-30 12:44:57,51,168,282,79,63,1,15
6016253062,LHY无人及你,福建 莆田,女,未认证,普通用户,无,好看的皮囊千篇一律，有趣的灵魂万里挑一,信用较好,未知,未知,1996-03-06 双鱼座,2016-10-12 21:55:20,83,226,261,433,81,8,344
5992396213,LILjissung,河南 郑州,女,未认证,普通用户,无,ACQUA DI PARMA,信用较好,未知,未知,2004-08-01 狮子座,2016-07-24 21:21:52,24,593,1311,386,62,15,309
5195042046,LLLuywXino-,山东 青岛,女,未认证,普通用户,无,成功是比较级，没有尽头,信用较好,未知,未知,1999-10-19 天秤座,2014-06-26 18:36:41,58,150,2141,1928,930,55,943
5670388912,LUCY六爻,福建,女,未认证,普通用户,无,最爱紫妹，孟姐！墙头嘟嘟！  基本和平友善，互相理解，不要引战！ 带脑上网。,信用较好,未知,未知,狮子座,2016-03-13 20:51:10,30,26,1451,1.1万,"1,553",35,"9,590"
6155286775,Lace_up,其他,男,未认证,普通用户,无,颓废且积极，年轻且优秀,信用较好,未知,未知, ,2017-03-02 22:37:39,31,156,36,11,0,0,11
2915134867,Lanien1921,其他,女,未认证,普通用户,无,(嚼嚼嚼),信用较好,未知,厦门大学,天蝎座,2013-10-14 21:35:16,40,927,5137,172,56,8,108
5287550602,LauReateND,陕西 西安,女,未认证,普通用户,无,渡己,信用较好,未知,未知,1900-01-01 摩羯座,2014-09-08 18:18:32,135,666,1820,5022,"3,021",73,"1,928"
5866200266,Lbd吃吃吃吃,其他,男,未认证,普通用户,无,,信用一般,未知,未知, ,2016-02-22 21:20:56,10,529,2,1,0,1,0
5325949519,LiangHu菌,河南 郑州,男,未认证,普通用户,无,与有情人做快活事，以不羁心读好看书。  一只贪财好色，一身正气的沙雕程序猿。,信用较好,未知,未知,1994-04-12 白羊座,2014-10-23 09:52:32,115,81,2995,2445,"1,348",54,"1,043"
7505408039,LifeOce4n,江苏,男,未认证,普通用户,无,less is more,信用较好,未知,未知,天秤座,2020-09-22 20:04:13,1,36,117,12,0,0,12
7029648876,Linhaitao168,其他,男,未认证,普通用户,无,,信用较好,未知,未知,射手座,2019-03-12 08:25:12,145,2465,6828,323,149,12,162
1651766343,Loreenzo,上海 浦东新区,男,未认证,普通用户,无,嘘……,信用较好,未知,未知,,2009-10-06 12:29:15,194,509,4491,523,83,360,80
3147495921,Love静宝宝Y,其他,女,未认证,普通用户,无,听说树木最坚硬的地方是结痂的伤疤,信用较好,无,清华大学,1996-03-12 双鱼座,2012-11-27 23:04:24,274,159,7477,502,386,7,109
7582618973,Loweluu,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2021-03-29 21:41:54,1,128,59,15,5,0,10
6482343807,Luckyflower狂想曲,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2018-02-15 21:44:02,177,247,2926,57,15,1,41
1853392257,Luminous-Darren,上海 长宁区,男,未认证,未知,无,港樂愛好者  在空中的這一秒 同行 隨著風可聽到心跳 在耳邊,信用较好,未知,未知,水瓶座,2010-11-10 08:58:28,17,131,198,430,97,12,321
3707506434,Lupin_Ameyuki,广东 广州,男,未认证,普通用户,无,Welcome.,信用一般,未知,未知,2003-12-07 射手座,2013-08-08 16:29:11,26,57,37,4,2,0,2
1567027875,MOUSSECOCO,其他,男,未认证,未知,无,婕,信用极好,未知,鲁迅文学院,摩羯座,2009-11-05 22:08:47,733,398,19679,355,62,188,105
7751083745,MUSTINFORMATION,其他,男,未认证,普通用户,无,,信用一般,未知,未知, ,2022-04-04 02:49:48,5,266,27,8,6,0,2
2493242593,MagicD1,北京 海淀区,男,未认证,普通用户,无,这个人很懒，没有个人介绍,信用较好,未知,南阳理工学院,,2011-11-26 14:01:50,53,260,695,98,53,5,40
7394301284,MagicFir,山西,男,未认证,普通用户,无,"For you,a thousnd times over",信用较好,未知,未知,双子座,2020-02-17 10:50:55,5,71,260,106,3,1,102
3160099571,Mandy123xin,台湾 台北市,女,未认证,普通用户,无,,信用较好,未知,未知,金牛座,2013-01-20 13:02:44,80,5423,6274,203,160,7,36
1804111770,Mark讲相声,广东 广州,男,未认证,普通用户,无,捧哏艺术家，朝鲜冷面杀手,信用较好,未知,未知,1995-10-27 天蝎座,2010-08-31 11:24:29,346,521,5517,4693,"2,810","1,120",763
1984739420,Marvin的星空之旅,海外,男,未认证,普通用户,无,别低头！                  低头会有双下巴...,信用较好,未知,北京师范大学,白羊座,2011-03-09 10:40:35,179,15,7,29,15,1,13
3639653517,MirrorNaN,其他,女,未认证,普通用户,无,💜Peace of Mind  杂食 胡言乱语 爱看众生相,信用较好,未知,未知,,2013-10-19 22:05:45,190,915,2605,1481,544,159,778
3243696842,MorganFreeman129,北京 东城区,男,未认证,普通用户,无,,信用较好,未知,未知, ,2013-03-28 15:02:01,186,5240,15422,152,36,33,83
7722957202,Moriicn,其他,男,未认证,普通用户,无,你好,信用一般,未知,未知, ,2021-11-11 18:56:36,1,35,210,5,3,0,2
7433276612,MrSea_,其他,女,未认证,普通用户,无,理科生＆新传＆法学｜美图收集｜手机摄影,信用一般,未知,未知, ,2020-04-08 23:40:04,26,229,179,451,211,3,237
1675006362,Mr_Lomax,上海,男,未认证,普通用户,无,介绍一下自己,信用较好,未知,上海大学,1998-04-30 金牛座,2011-07-02 23:35:34,153,143,1443,941,666,52,223
1967227455,NINISMAMI,浙江 杭州,女,未认证,普通用户,无,,信用较好,未知,未知,1978-07-19 巨蟹座,2011-02-13 19:32:36,37,90,1570,8,3,1,4
3861290283,NS-源辉单推人,其他,女,未认证,普通用户,无,一般通过源辉单推人,信用较好,未知,未知,2001-05-11 金牛座,2013-10-17 14:29:28,13,249,699,575,450,9,116
2796536622,Old冰_255,广东,男,未认证,普通用户,无,购物,信用较好,未知,凤江中学,1996-06-18 双子座,2012-05-06 17:12:06,27,168,54,203,165,1,37
1960326320,Palace_of_Phoenix,上海 浦东新区,男,未认证,未知,无,北方冬天的枝干，清晰、勇敢、坚强,信用较好,中融国际信托有限公司,复旦大学,金牛座,2011-02-24 11:09:03,598,465,1185,2377,"1,874",378,125
7006414271,Paradoxsun,河北,女,未认证,普通用户,无,勇敢 自由 浪漫 贪恋与你,信用较好,未知,未知, ,2019-02-22 16:05:43,10,981,1379,493,197,64,232
5670631050,PeaceLove97,江苏 盐城,女,未认证,普通用户,无,做另一个默尔索。,信用较好,理想国,南京审计大学,1997-04-28 金牛座,2015-08-06 22:15:15,207,236,345,94,24,3,67
2958769882,Peace姐,浙江 嘉兴,女,未认证,普通用户,无,希望每天都是和平的一天！~(・∀・＞)peace,信用较好,未知,未知,1990-08-12 狮子座,2012-08-20 10:07:41,1516,1228,578,304,187,91,26
1993316464,Petree,江苏 南京,男,未认证,普通用户,无,你的心眼儿比俺多！,信用较好,未知,未知,,2011-03-11 14:22:56,481,1645,42936,3937,"1,003","1,382","1,552"
7489677792,PrIamb,海外,女,未认证,普通用户,无,早泄 | 少打小三 少鉴擦边,信用较好,未知,未知,双鱼座,2020-08-09 13:05:06,26,170,4005,8627,"6,470",127,"2,030"
6569185599,Pseudo-Samoyed,其他,女,未认证,普通用户,无,我在厦一站等你,信用较好,微信公众号(冰块漂流记),未知,2001-10-26 天蝎座,2018-06-08 13:07:31,145,1484,2932,2076,"1,066",41,969
5042961094,PurpleCapr,其他,女,未认证,普通用户,无,PurpleπLi    一如初见   一如往心,信用较好,未知,兰州财经大学,,2014-02-20 22:27:35,93,139,175,72,28,19,25
2217647325,Q类人,广东,男,未认证,普通用户,无,对事物不要追求最优解而求次优解次优解有影响至够久够大就会成为某种意义上的最优解躺平式优先自保原则哲学。 受不起 受不起来时无踪迹，一去无穷矣。,信用较好,未知,深圳信息职业技术学院,,2011-07-04 17:23:34,549,1745,3717,4200,"1,284",138,"2,778"
2151468501,ROOTLESS_D,其他,男,未认证,普通用户,无,,信用极好,未知,未知, ,2011-05-28 19:59:25,189,161,3768,1458,190,660,608
1565264587,RORONOA_ZORO_V,上海 黄浦区,男,未认证,普通用户,无,,信用极好,未知,未知,摩羯座,2011-06-18 13:33:51,837,3654,18811,3599,417,"2,331",851
7374332512,Roem_洛,其他,女,未认证,普通用户,无,,信用较好,未知,未知, ,2020-01-19 13:29:01,21,149,396,819,149,23,647
6447991964,Rose_可可1978525,湖南 娄底,男,未认证,普通用户,无,,信用较好,未知,未知, ,2018-01-08 19:03:05,11,627,338,252,85,6,161
6761767026,Roxy_迷梦,浙江,女,未认证,普通用户,无,"喜欢宝蓝,希望宝蓝赢比赛",信用较好,未知,未知,水瓶座,2018-10-12 09:45:35,33,116,2721,5779,"1,252",138,"4,389"
6100037322,S-How,云南,男,未认证,普通用户,无,,信用一般,未知,未知, ,2017-01-03 03:09:20,1,37,2,0,0,0,0
5032525094,Sage2r,河南 郑州,男,未认证,普通用户,无,I want real life,信用较好,未知,未知, ,2014-02-10 00:18:26,187,1046,3375,194,109,4,81
2545789050,Schnapsidee·,海外 其他,女,未认证,普通用户,无,你每天能听到厌烦的话其实是我对你的真心,信用较好,未知,未知,水瓶座,2011-11-19 14:14:44,474,529,1645,4217,953,"1,248","2,016"
2498460364,Scorpio1015,上海 浦东新区,女,未认证,普通用户,无,你灵魂的欲望就是你命运的先知；欲望是人生中的唯一源动力！,信用较好,未知,吴迅中学,1991-11-20 天蝎座,2011-10-28 10:26:10,170,1830,1637,472,147,4,321
7319538277,SerinaPhD学姐,海外 英国,女,已认证,名人,超话主持人（TESOL英语教师培训超话）,爱丁堡大学已毕业且回归高校猪圈的博士🐷,信用较好,未知,University of Edinburgh,天蝎座,2019-10-15 02:15:04,20780,117,5387,9.5万,"24,574","6,704","63,275"
1395725485,Silion洗臉_,海外 其他,女,未认证,未知,无,夢為努力澆了水 愛在背後往前推♥[/互動科技/影視後期/小小小透明/五月天是初心/追不動星¶張申希是舊名],信用极好,未知,第一职业技术学校,金牛座,2010-03-29 18:01:19,298,237,28848,3.2万,"5,534","26,003",310
5353864319,SkyunW,贵州 贵阳,男,未认证,普通用户,无,Everything Will Be OK,信用较好,未知,贵州民族大学,1995-11-01 天蝎座,2014-11-02 21:55:49,240,769,497,1010,341,5,664
5601733464,Stejnalaska,其他,女,未认证,普通用户,无,askeze,信用较好,未知,未知, ,2015-05-03 19:47:10,35,412,744,797,376,14,407
6042864793,SuKi62342塘塘,其他,男,未认证,普通用户,无,,信用较好,未知,未知, ,2016-10-10 23:40:42,99,5360,7937,99,39,4,56
6000279165,Syacalm-,江苏 南京,女,未认证,普通用户,无,击溃非生命的一切,信用较好,未知,未知,巨蟹座,2016-08-11 08:18:22,33,156,90,166,47,2,117
1405221864,TL_mama,北京,女,未认证,普通用户,无,,信用极好,未知,未知,,2011-09-04 18:02:36,353,1074,6350,566,218,68,280
1881000260,Tastigoo,其他,男,未认证,未知,无,追寻一套有价值的认知框架。,信用极好,未知,未知,1991-10-24 天蝎座,2010-11-20 10:15:21,778,504,2576,4588,"3,607",610,371
5649276784,TastingBreakfast,广东 广州,男,未认证,普通用户,无,百无禁忌,信用较好,未知,未知,1994-11-01 天蝎座,2015-07-09 00:56:15,249,470,28461,3153,671,"1,023","1,459"
5782700768,TheShy丶笑容,内蒙古 呼伦贝尔,男,未认证,普通用户,无,,信用较好,未知,未知,1994-10-10 天秤座,2015-12-05 23:15:28,86,5253,7073,353,293,3,57
